OrderID,OrderDate,CustomerName,Region,ProductCategory,Product,Quantity,UnitPrice,Discount,TotalSales
1001,2025-06-23,Sara Ali,South,Electronics,Laptop,2,115.49,0.0,230.98
1002,2025-05-10,Aisha Khan,West,Electronics,Headphones,1,51.38,0.05,48.81
1004,2025-02-25,Arjun Nambiar,South,Stationery,Notebook,4,173.42,0.05,659.0
1005,2025-03-09,Rohan Mehta,West,Electronics,Laptop,3,424.51,0.0,1273.53
1006,2025-04-03,Rohan Mehta,West,Clothing,T-Shirt,5,150.12,0.0,750.6
1007,2025-03-01,Divya Menon,North,Furniture,Office Chair,2,387.67,0.0,775.34
1008,2025-02-23,Divya Menon,West,Clothing,Cap,3,85.51,0.1,230.88
1009,2025-02-11,Divya Menon,North,Stationery,Notebook,2,269.4,0.05,511.86
1010,2025-07-16,Arjun Nambiar,South,Clothing,Cap,5,113.71,0.1,511.7
1011,2025-07-03,Neha Gupta,East,Furniture,Office Chair,3,37.76,0.0,113.28
1012,2025-03-05,Divya Menon,West,Furniture,Cabinet,4,75.72,0.05,287.74
1013,2025-05-11,Neha Gupta,North,Stationery,Sticky Notes,3,113.56,0.05,323.65
1015,2025-01-03,Farhan Sheikh,North,Clothing,Socks,5,129.45,0.0,647.25
1017,2025-05-10,Arjun Nambiar,South,Clothing,T-Shirt,3,486.08,0.05,1385.33
1018,2025-01-01,Vikram Singh,South,Stationery,Pen Set,2,271.99,0.0,543.98
1019,2025-03-03,Rohan Mehta,North,Stationery,Sticky Notes,3,439.97,0.1,1187.92
1020,2025-07-16,Arjun Nambiar,North,Furniture,Office Chair,4,408.93,0.0,1635.72
1021,2025-04-19,Priya Nair,North,Furniture,Cabinet,3,266.2,0.0,798.6
1023,2025-05-31,Vikram Singh,North,Furniture,Desk,1,296.21,0.05,281.4
1024,2025-03-26,Divya Menon,South,Electronics,Laptop,1,118.33,0.0,118.33
1025,2025-05-28,Farhan Sheikh,South,Furniture,Bookshelf,2,271.92,0.0,543.84
1026,2025-04-01,Karan Shah,West,Furniture,Cabinet,1,52.98,0.15,45.03
1028,2025-04-19,Karan Shah,South,Stationery,Notebook,2,270.46,0.05,513.87
1029,2025-01-26,Rohan Mehta,South,Stationery,Sticky Notes,4,404.97,0.0,1619.88
1030,2025-04-13,Priya Nair,South,Electronics,Laptop,4,245.39,0.05,932.48
1031,2025-03-15,Neha Gupta,North,Furniture,Cabinet,3,463.63,0.15,1182.26
1032,2025-07-08,Sara Ali,South,Clothing,Jacket,2,484.51,0.0,969.02
1033,2025-02-10,Aisha Khan,North,Electronics,Keyboard,5,241.01,0.0,1205.05
1034,2025-04-14,Imran Qureshi,North,Electronics,Mouse,1,339.23,0.05,322.27
1035,2025-05-14,Rohan Mehta,North,Furniture,Office Chair,4,330.4,0.0,1321.6
