Customer Name,Product Category,Sales Amount
Aarav Mehta,Groceries,4043.14
Sanjay Verma,Beauty,9147.31
Pooja Sharma,Furniture,110156.97
Priya Reddy,Furniture,262066.11
Ritu Sharma,Groceries,323.95
Vikram Iyer,Books,2202.33
Arjun Shah,Books,994.87
Aditya Sharma,Clothing,2140.41
Aditya Patel,Books,2828.82
Arjun Das,Clothing,14568.16
Meera Mishra,Furniture,86997.39
Shreya Bose,Groceries,379.5
Vikram Pillai,Beauty,567.33
Karan Bose,Books,9315.19
Deepa Joshi,Clothing,4824.04
Deepa Mehta,Furniture,144295.18
Rahul Gupta,Clothing,17995.41
Shreya Singh,Electronics,315130.44
Nikhil Mishra,Clothing,10622.32
Sanjay Bose,Furniture,64727.53
Kavya Kumar,Electronics,483408.08
Sanjay Mishra,Sports,61783.2
Rahul Joshi,Books,7477.88
Arjun Chatterjee,Books,621.35
Pooja Verma,Books,3224.82
Nikhil Bhat,Sports,29267.25
Sanjay Reddy,Groceries,322.86
Nikhil Bose,Clothing,2477.72
Rahul Gupta,Electronics,671607.78
Rahul Kapoor,Books,3704.84
Arjun Pillai,Sports,43346.6
Kavya Patel,Beauty,3690.09
Kavya Pillai,Furniture,24565.06
Deepa Pillai,Electronics,177754.39
Vikram Pillai,Books,3635.51
Rahul Sharma,Electronics,232621.97
Ritu Nair,Furniture,92924.36
Amit Kumar,Books,1929.4
Ananya Patel,Clothing,4851.55
Karan Iyer,Books,1810.18
Sanjay Shah,Furniture,191398.26
Vikram Kumar,Sports,145427.41
Nikhil Kapoor,Furniture,53911.88
Aditya Reddy,Sports,36596.17
Meera Gupta,Furniture,24230.41
Kavya Verma,Beauty,6596.23
Ananya Nair,Electronics,44107.0
Meera Kumar,Books,4582.79
Nikhil Reddy,Clothing,1859.03
Aditya Mehta,Groceries,1057.65
Meera Chatterjee,Sports,49710.43
Sanjay Kapoor,Books,6991.06
Vikram Shah,Groceries,2026.01
Aditya Pillai,Beauty,867.37
Ritu Verma,Electronics,89225.91
Shreya Kumar,Sports,9541.81
Rohan Nair,Books,3597.1
Priya Joshi,Clothing,2480.54
Deepa Nair,Books,1146.29
Sanjay Joshi,Sports,13365.94
Ritu Gupta,Sports,6293.66
Shreya Nair,Books,1761.29
Ananya Verma,Clothing,2660.47
Karan Kapoor,Furniture,51389.35
Aarav Pillai,Electronics,32774.69
Deepa Pillai,Books,3687.74
,,
Aditya Gupta,Clothing,4205.92
Arjun Bhat,Clothing,11565.64
Karan Shah,Furniture,117568.37
Nisha Shah,Electronics,443615.41
Deepa Chatterjee,Furniture,6967.21
Ananya Joshi,Furniture,11304.13
Nikhil Reddy,Furniture,30702.91
Rahul Verma,Electronics,44298.79
Kavya Patel,Electronics,175476.12
Arjun Mishra,Clothing,4673.02
Shreya Nair,Sports,8396.79
Nisha Mehta,Furniture,95036.79
Ritu Kapoor,Books,1026.5
Aditya Sharma,Furniture,100210.97
Ananya Shah,Furniture,82667.82
Aditya Das,Groceries,1159.07
Deepa Das,Books,937.54
Sanjay Verma,Sports,32120.84
Vikram Nair,Electronics,205453.46
Meera Gupta,Furniture,118164.26
Priya Bhat,Furniture,173004.24
Meera Singh,Sports,6360.16
Rohan Pillai,Clothing,12757.93
Sanjay Iyer,Furniture,149044.86
Rahul Verma,Books,10570.33
Nisha Shah,Sports,48184.42
Shreya Reddy,Furniture,73335.01
Ananya Verma,Books,4535.42
Karan Das,Books,3730.16
Rohan Gupta,Groceries,2672.61
Priya Singh,Sports,62483.59
Nikhil Patel,Electronics,192150.99
Deepa Rao,Furniture,188109.47
Vikram Gupta,Beauty,1538.13
Vikram Iyer,Clothing,16031.48
Rahul Verma,Books,3954.73
Nikhil Mishra,Groceries,118.23
Nikhil Reddy,Groceries,815.36
Meera Nair,Books,7120.16
Nisha Iyer,Clothing,9673.58
Nikhil Sharma,Electronics,172382.02
Sunita Joshi,Books,10167.9
Rahul Das,Electronics,295286.41
Pooja Mishra,Sports,97177.38
Sunita Joshi,Books,8717.89
Rahul Kumar,Groceries,125.78
Nikhil Nair,Sports,37888.42
Rahul Chatterjee,Groceries,1437.0
Amit Verma,Sports,14206.67
Deepa Verma,Clothing,26908.32
Meera Pillai,Sports,30752.81
Amit Patel,Sports,13993.35
Amit Das,Furniture,57174.24
Sunita Gupta,Groceries,2780.1
Rohan Shah,Beauty,11756.21
Shreya Pillai,Books,7683.45
Sanjay Singh,Sports,13501.36
Meera Chatterjee,Electronics,274607.48
Arjun Chatterjee,Furniture,99978.26
Sanjay Mehta,Sports,5849.95
Amit Das,Clothing,12884.93
Sunita Reddy,Books,1452.88
Kavya Mehta,Books,2495.05
Nikhil Patel,Furniture,144911.63
Ritu Patel,Electronics,161033.98
Vikram Kumar,Sports,25494.32
Rahul Bhat,Electronics,167889.68
Kavya Pillai,Furniture,46926.73
Meera Kumar,Clothing,2632.07
Karan Bose,Books,916.67
Nikhil Joshi,Sports,39614.95
Aditya Iyer,Clothing,6927.13
Ananya Rao,Electronics,127833.79
Kavya Singh,Electronics,111205.03
Priya Das,Beauty,1186.66
Ananya Nair,Books,2814.83
Priya Sharma,Clothing,1124.22
,,
Sunita Das,Electronics,159421.61
Sunita Mishra,Clothing,39736.74
Nisha Kapoor,Electronics,154630.39
Ananya Nair,Sports,31129.56
Sunita Verma,Furniture,92126.76
Amit Singh,Sports,44578.62
Karan Reddy,Beauty,11296.75
Aarav Joshi,Sports,30150.8
Sunita Shah,Furniture,36117.01
Nisha Kapoor,Books,3040.53
Kavya Pillai,Furniture,218733.7
Pooja Iyer,Beauty,10606.52
Aditya Mehta,Electronics,542100.67
Shreya Gupta,Electronics,520084.41
Arjun Joshi,Furniture,24685.74
Ritu Reddy,Beauty,4769.26
Pooja Shah,Groceries,313.86
Sanjay Joshi,Books,1967.1
Sunita Iyer,Electronics,67060.7
Sanjay Rao,Books,11632.7
Pooja Shah,Books,7711.33
Meera Iyer,Sports,77124.12
Pooja Chatterjee,Clothing,4811.57
Vikram Nair,Clothing,28827.02
Kavya Das,Furniture,45443.23
Ritu Nair,Books,1423.3
Sunita Sharma,Electronics,295233.56
Vikram Chatterjee,Books,1034.25
Priya Verma,Sports,5037.77
Pooja Mishra,Clothing,3708.79
Meera Nair,Books,1477.96
Rohan Pillai,Groceries,1055.1
Rohan Kumar,Clothing,5546.22
Aarav Mehta,Beauty,9118.63
Arjun Rao,Electronics,8306.29
Nisha Joshi,Electronics,789939.57
Priya Verma,Groceries,3702.45
Nikhil Singh,Books,2827.28
Nikhil Patel,Furniture,95102.09
Kavya Rao,Clothing,2706.28
Vikram Joshi,Furniture,157859.91
Deepa Chatterjee,Beauty,14424.73
Shreya Kapoor,Beauty,3344.42
Vikram Bhat,Clothing,9440.78
Aditya Shah,Sports,17159.15
Shreya Mishra,Sports,1042.72
Rohan Mishra,Electronics,196362.97
Nisha Bhat,Books,4735.21
Aditya Mehta,Sports,9272.71
Sanjay Joshi,Books,12502.33
Nikhil Patel,Clothing,18651.13
Vikram Gupta,Furniture,132575.91
Nisha Kapoor,Books,15191.82
Aditya Bose,Electronics,218111.79
Pooja Kapoor,Sports,22974.82
Rahul Kumar,Beauty,14584.96
Aarav Das,Furniture,120310.49
Meera Mehta,Electronics,117489.88
Ananya Joshi,Beauty,17609.1
Sanjay Iyer,Beauty,286.61
Vikram Sharma,Groceries,4232.71
Nikhil Mishra,Clothing,2559.11
Meera Joshi,Furniture,132743.41
Pooja Rao,Clothing,22364.16
Arjun Iyer,Clothing,15407.9
Sanjay Gupta,Groceries,1375.7
Priya Gupta,Clothing,12273.11
Deepa Kapoor,Beauty,10532.18
Aditya Gupta,Sports,26055.86
Meera Patel,Clothing,3196.43
Shreya Rao,Sports,12312.75
Priya Pillai,Books,1735.77
Pooja Bhat,Furniture,23373.24
Ritu Gupta,Groceries,506.19
Vikram Mehta,Beauty,4258.29
Nisha Reddy,Electronics,41177.25
Meera Pillai,Clothing,13152.75
Aditya Shah,Beauty,2848.99
Sunita Pillai,Beauty,3807.56
Pooja Mehta,Beauty,804.15
Nisha Das,Clothing,25322.69
Deepa Bose,Sports,36649.85
Kavya Kumar,Groceries,1080.19
Amit Kapoor,Books,885.78
Ananya Gupta,Groceries,998.21
Ritu Nair,Electronics,174189.34
Pooja Kumar,Clothing,3229.98
Deepa Joshi,Beauty,1201.96
Sunita Iyer,Electronics,465179.21
Aarav Verma,Sports,44971.39
Nisha Mehta,Electronics,25255.17
Nisha Reddy,Clothing,13540.41
Shreya Kumar,Furniture,157416.69
Shreya Chatterjee,Groceries,276.46
Sunita Kumar,Sports,9045.13
Kavya Shah,Groceries,2258.19
Meera Bhat,Sports,21823.19
Rohan Patel,Books,203951.5
Kavya Kumar,Beauty,1006.96
Rahul Bose,Furniture,8506.99
Kavya Shah,Electronics,436166.56
Karan Kumar,Electronics,86042.12
Shreya Das,Beauty,1737.45
Amit Kumar,Groceries,219.23
Ananya Reddy,Furniture,16420.47
Sanjay Kapoor,Books,4097.63
Shreya Rao,Sports,79799.46
Priya Mishra,Clothing,15863.82
Meera Rao,Sports,19375.1
Sunita Reddy,Books,613.66
Sanjay Chatterjee,Electronics,207766.8
Pooja Kapoor,Books,661.09
Deepa Kumar,Beauty,1684.8
Vikram Reddy,Groceries,179.13
Sunita Das,Electronics,76494.58
Rohan Shah,Clothing,3508.11
Priya Rao,Books,5647.04
Sunita Iyer,Clothing,8376.83
Sanjay Verma,Electronics,110240.96
Ritu Bose,Books,599.16
Rohan Patel,Books,2905.61
Pooja Kapoor,Groceries,2475.37
Ananya Gupta,Sports,9630.16
Deepa Kapoor,Clothing,1795.94
Aditya Chatterjee,Groceries,1658.66
Nisha Mehta,Beauty,9047.98
Ritu Pillai,Electronics,473255.79
Amit Iyer,Groceries,86.02
Rahul Verma,Groceries,1769.53
Arjun Reddy,Furniture,28279.75
Kavya Iyer,Groceries,930.33
Vikram Rao,Electronics,4938.48
Ananya Shah,Beauty,4761.71
Vikram Kapoor,Sports,21548.37
Karan Sharma,Clothing,1011.25
Priya Chatterjee,Clothing,12039.52
Pooja Gupta,Electronics,142488.63
Vikram Verma,Books,2873.31
Sunita Pillai,Sports,54342.29
Amit Kumar,Furniture,60026.42
Sanjay Sharma,Sports,55550.3
Karan Singh,Clothing,9066.91
Meera Das,Beauty,2319.17
Nisha Mishra,Beauty,9458.95
Ritu Mehta,Electronics,48186.78
Nisha Singh,Groceries,1362.0
Shreya Gupta,Books,1081.22
Arjun Verma,Beauty,4358.73
Amit Pillai,Beauty,971.77
Nisha Joshi,Beauty,379.18
Arjun Das,Groceries,203.41
Kavya Nair,Groceries,768.3
Sanjay Kapoor,Sports,69539.73
Shreya Kapoor,Books,1927.61
Amit Patel,Groceries,1196.11
Kavya Pillai,Groceries,1193.08
Meera Verma,Beauty,8746.39
Karan Reddy,Sports,11991.16
Nikhil Gupta,Beauty,2333.99
Nisha Das,Clothing,19925.91
Arjun Pillai,Clothing,11602.32
Aditya Chatterjee,Furniture,63871.89
Ritu Das,Beauty,12379.8
Ritu Rao,Sports,13665.74
Sanjay Mishra,Beauty,1442.88
Nikhil Bose,Beauty,1382.93
Arjun Kapoor,Electronics,49034.56
Rohan Chatterjee,Books,5054.28
Sunita Kumar,Groceries,3274.29
Deepa Gupta,Sports,114501.45
Aditya Shah,Groceries,368.28
Pooja Iyer,Beauty,1684.76
Shreya Mishra,Books,846.36
Nisha Bhat,Furniture,9688.23
Aditya Shah,Groceries,1927.79
Kavya Shah,Electronics,200569.38
Amit Rao,Sports,37398.22
Ritu Mishra,Electronics,12800.24
Nikhil Joshi,Furniture,15984.43
Ritu Sharma,Electronics,325899.4
Sunita Patel,Beauty,1214.1
Sanjay Rao,Sports,95488.18
Rohan Bhat,Electronics,268632.52
Aditya Singh,Books,1230.66
Amit Bhat,Clothing,15432.22
Ritu Das,Sports,6868.24
Priya Mishra,Books,2524.52
Nisha Bose,Books,2755.17
Vikram Singh,Electronics,392607.23
Rohan Mishra,Clothing,10612.0
Karan Singh,Sports,15147.36
Aarav Joshi,Electronics,54475.55
Ritu Das,Furniture,52202.49
Amit Joshi,Furniture,9554.34
Amit Mehta,Electronics,542833.32
Rahul Gupta,Books,5098.4
Ananya Pillai,Electronics,131067.26
Arjun Mishra,Electronics,96948.0
Pooja Sharma,Books,3025.64
Aditya Mishra,Furniture,87823.05
Kavya Joshi,Beauty,8925.05
Priya Nair,Electronics,186628.87
Aditya Nair,Groceries,658.39
Ritu Mishra,Beauty,1563.91
Shreya Verma,Clothing,1620.42
Shreya Mehta,Clothing,12279.25
Aarav Kumar,Groceries,2253.34
Vikram Joshi,Clothing,7425.11
Kavya Shah,Sports,65319.25
Pooja Joshi,Beauty,5762.75
Karan Singh,Groceries,1116.38
Aditya Singh,Furniture,88956.71
Nikhil Verma,Sports,51174.21
Amit Shah,Electronics,175761.72
Nikhil Nair,Clothing,11495.42
Sunita Iyer,Groceries,3219.24
Pooja Joshi,Sports,66340.96
Nisha Chatterjee,Books,762.89
Rohan Singh,Sports,5426.75
Shreya Gupta,Sports,54768.47
Priya Kapoor,Clothing,13934.11
Arjun Kapoor,Sports,8729.66
Aditya Pillai,Sports,58868.95
Amit Reddy,Books,3201.22
Meera Chatterjee,Clothing,45729.43
Sunita Bose,Groceries,5992.24
Sunita Mehta,Furniture,23093.12
Sunita Pillai,Clothing,578.97
Sanjay Iyer,Groceries,1055.34
Sanjay Rao,Books,7234.13
Arjun Patel,Electronics,107608.01
Meera Rao,Beauty,2115.74
Shreya Mishra,Groceries,100.14
Arjun Patel,Electronics,33725.89
Pooja Iyer,Books,8038.79
Shreya Bhat,Sports,21239.19
